FID,id,tunnus,kadunnimi,puistonnimi,paatyyppi,suomenknimi,suku,laji,kokoluokka,istutusvuosi,datanomistaja,paivitetty_tietopalveluun,geom
Puurekisteri_piste.96951,96951,P-25012-5,,PITÄJÄNMÄKI,Puisto,METSÄVAAHTERA,Acer,platanoides,,,Helsinki/MAKA,2026-02-27,POINT (24.87627352501079 60.21440983194559)
Puurekisteri_piste.96952,96952,P-25012-6,,PITÄJÄNMÄKI,Puisto,METSÄVAAHTERA,Acer,platanoides,,,Helsinki/MAKA,2026-02-27,POINT (24.876175800252355 60.214369682003)
Puurekisteri_piste.96953,96953,P-25012-7,,PITÄJÄNMÄKI,Puisto,METSÄVAAHTERA,Acer,platanoides,,,Helsinki/MAKA,2026-02-27,POINT (24.87607807826945 60.214328864338405)
Puurekisteri_piste.96954,96954,P-25012-8,,PITÄJÄNMÄKI,Puisto,METSÄVAAHTERA,Acer,platanoides,,,Helsinki/MAKA,2026-02-27,POINT (24.875980353990826 60.21428871425152)
Puurekisteri_piste.96955,96955,P-24030-1,,MUNKKINIEMEN URHEILUKENTÄN REUNAT,Puisto,METSÄVAAHTERA,Acer,platanoides,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.87575960703466 60.21419278504169)
Puurekisteri_piste.96956,96956,P-24030-2,,MUNKKINIEMEN URHEILUKENTÄN REUNAT,Puisto,METSÄVAAHTERA,Acer,platanoides,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.8756670492681 60.214154165610104)
Puurekisteri_piste.96957,96957,P-24030-3,,MUNKKINIEMEN URHEILUKENTÄN REUNAT,Puisto,METSÄVAAHTERA,Acer,platanoides,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.87558061651651 60.21411669639021)
Puurekisteri_piste.96958,96958,P-24030-4,,MUNKKINIEMEN URHEILUKENTÄN REUNAT,Puisto,METSÄVAAHTERA,Acer,platanoides,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.875357705197818 60.21402167543511)
Puurekisteri_piste.97186,97186,P-25082-61,,KANGASPELTO,Puisto,RUSOKIRSIKKA,Prunus,sargentii,0 - 10 cm,2025,Helsinki/MAKA,2026-02-27,POINT (24.8840296265092 60.2082808905995)
Puurekisteri_piste.97187,97187,P-25082-62,,KANGASPELTO,Puisto,RUSOKIRSIKKA,Prunus,sargentii,0 - 10 cm,2025,Helsinki/MAKA,2026-02-27,POINT (24.88411533297728 60.20837210559495)
Puurekisteri_piste.97188,97188,P-25082-63,,KANGASPELTO,Puisto,RUSOKIRSIKKA,Prunus,sargentii,0 - 10 cm,2025,Helsinki/MAKA,2026-02-27,POINT (24.884251313589917 60.20836248638773)
Puurekisteri_piste.97269,97269,P-42002-27,,ULLANPUISTIKKO,Puisto,ORAPIHLAJA,Crataegus,sp.,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.952332477865063 60.160864845832926)
Puurekisteri_piste.97339,97339,X-644,,,Täydennys,METSÄVAAHTERA,Acer,platanoides,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96278270875276 60.15719898306182)
Puurekisteri_piste.97340,97340,X-645,,,Täydennys,METSÄVAAHTERA,Acer,platanoides,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.962784229528797 60.15737909434237)
Puurekisteri_piste.97341,97341,X-646,,,Täydennys,METSÄVAAHTERA,Acer,platanoides,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.962756095156116 60.15746498739965)
Puurekisteri_piste.97342,97342,X-647,,,Täydennys,METSÄVAAHTERA,Acer,platanoides,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.962633672611254 60.157723800364884)
Puurekisteri_piste.97343,97343,X-648,,,Täydennys,METSÄVAAHTERA,Acer,platanoides,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.962561912286983 60.15779734351903)
Puurekisteri_piste.97344,97344,X-649,,,Täydennys,METSÄVAAHTERA,Acer,platanoides,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96241950872012 60.15794944793697)
Puurekisteri_piste.97345,97345,X-650,,,Täydennys,METSÄVAAHTERA,Acer,platanoides,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.961942702238783 60.15848259927845)
Puurekisteri_piste.96779,96779,P-34718-223,,VALLILANLAAKSO,Puisto,METSÄKUUSI,Picea,abies,,,Helsinki/MAKA,2026-02-27,POINT (24.95176923646651 60.20028820790392)
Puurekisteri_piste.96780,96780,P-34718-224,,VALLILANLAAKSO,Puisto,METSÄKUUSI,Picea,abies,,,Helsinki/MAKA,2026-02-27,POINT (24.951822958523792 60.20032500932019)
Puurekisteri_piste.96781,96781,P-34718-225,,VALLILANLAAKSO,Puisto,SIPERIANPIHTA,Abies,sibirica,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94574996292922 60.20071392675154)
Puurekisteri_piste.96782,96782,P-34718-226,,VALLILANLAAKSO,Puisto,SIPERIANPIHTA,Abies,sibirica,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.945770182344116 60.2007561524128)
Puurekisteri_piste.96783,96783,P-34718-227,,VALLILANLAAKSO,Puisto,SIPERIANPIHTA,Abies,sibirica,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.945673515005453 60.20075611285484)
Puurekisteri_piste.96784,96784,P-34718-228,,VALLILANLAAKSO,Puisto,SIPERIANPIHTA,Abies,sibirica,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94759288157952 60.2010217277762)
Puurekisteri_piste.96785,96785,P-34718-229,,VALLILANLAAKSO,Puisto,SIPERIANPIHTA,Abies,sibirica,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94764406105812 60.20102806244945)
Puurekisteri_piste.96786,96786,P-34718-230,,VALLILANLAAKSO,Puisto,SIPERIANPIHTA,Abies,sibirica,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94768591886468 60.20100883325281)
Puurekisteri_piste.96787,96787,P-34718-231,,VALLILANLAAKSO,Puisto,KULTAKUUSI,Picea,abies,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94820053839082 60.200618048922856)
Puurekisteri_piste.96788,96788,P-34718-232,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.950212844764035 60.20069213394427)
Puurekisteri_piste.96789,96789,P-34718-233,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.950169883474015 60.200731704603605)
Puurekisteri_piste.96790,96790,P-34718-234,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.950111432897724 60.20069792457092)
Puurekisteri_piste.96791,96791,P-34718-235,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.949435018967943 60.199958966004395)
Puurekisteri_piste.96792,96792,P-34718-236,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94938617585503 60.20001917758983)
Puurekisteri_piste.96793,96793,P-34718-237,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.949351145513614 60.19997374869805)
Puurekisteri_piste.96794,96794,P-34718-238,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.948787015785204 60.200543025074865)
