FID,id,tunnus,kadunnimi,puistonnimi,paatyyppi,suomenknimi,suku,laji,kokoluokka,istutusvuosi,datanomistaja,paivitetty_tietopalveluun,geom
Puurekisteri_piste.10331,10331,P-32031-112,,SINEBRYCHOFFIN PUISTO,Puisto,PUISTOLEHMUS,Tilia,x vulgaris,70 cm -,,Helsinki/MAKA,2026-02-27,POINT (24.934290579943834 60.16078187063491)
Puurekisteri_piste.10332,10332,P-32031-113,,SINEBRYCHOFFIN PUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.93442937218447 60.16074725088091)
Puurekisteri_piste.10334,10334,P-32031-115,,SINEBRYCHOFFIN PUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.934447231728864 60.16077443891603)
Puurekisteri_piste.10335,10335,P-43067-237,,TERVASAARI,Puisto,RAITA,Salix,caprea,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.968469803766826 60.17387440774448)
Puurekisteri_piste.10336,10336,P-43067-238,,TERVASAARI,Puisto,LEPPÄ,Alnus,sp.,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.96858481107721 60.17390750127323)
Puurekisteri_piste.10337,10337,P-53003-502,,TULLISAAREN KARTANO,Puisto,KOTIPIHLAJA,Sorbus,aucuparia,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (25.02791536290636 60.17784274787072)
Puurekisteri_piste.10338,10338,P-53003-503,,TULLISAAREN KARTANO,Puisto,METSÄKUUSI,Picea,abies,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (25.027882745138943 60.17787416998065)
Puurekisteri_piste.10340,10340,K-6196,HIEKKARANNANTIE,,Katu,HOPEASALAVA,Salix,alba,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.906583876405993 60.17301698727131)
Puurekisteri_piste.10341,10341,K-815,RATAMESTARINKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.939757942801613 60.19967058137012)
Puurekisteri_piste.10344,10344,K-8152,VANHA TURUN MAANTIE,,Katu,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.891800844870563 60.20906891354253)
Puurekisteri_piste.10345,10345,K-5139,SÖRNÄISTEN RANTATIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.961074067333257 60.18135240301956)
Puurekisteri_piste.10346,10346,K-7066,SELKÄMERENKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.916900720309357 60.16041612973985)
Puurekisteri_piste.10347,10347,K-986,RATAMESTARINKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.941274278321398 60.196864318843346)
Puurekisteri_piste.10348,10348,K-987,RATAMESTARINKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.941041338007064 60.196837518803335)
Puurekisteri_piste.10349,10349,K-988,RATAMESTARINKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94094724578089 60.196861138279296)
Puurekisteri_piste.10352,10352,K-990,RATAMESTARINKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.940924026801383 60.19692154555699)
